watching /dev/input/event0 = "mxckpd"
watching /dev/input/event1 = "fiveway"
watching /dev/input/event2 = "volume"

press every key now (150 s)
DEVICE     CODE   VALUE  ACTION
mxckpd     193    1      press
mxckpd     193    0      release
mxckpd     104    1      press
mxckpd     104    0      release
mxckpd     109    1      press
mxckpd     109    0      release
mxckpd     109    1      press
mxckpd     109    0      release
mxckpd     191    1      press
mxckpd     191    0      release
mxckpd     139    1      press
mxckpd     139    0      release
mxckpd     102    1      press
mxckpd     102    0      release
mxckpd     158    1      press
mxckpd     158    0      release
mxckpd     28     1      press
mxckpd     28     0      release
mxckpd     42     1      press
mxckpd     42     0      release
mxckpd     56     1      press
mxckpd     190    1      press
mxckpd     56     0      release
mxckpd     190    0      release
mxckpd     126    1      press
mxckpd     126    0      release
mxckpd     44     1      press
mxckpd     44     0      release
mxckpd     16     1      press
mxckpd     16     0      release
mxckpd     17     1      press
mxckpd     17     0      release
mxckpd     18     1      press
mxckpd     18     0      release
mxckpd     16     1      press
mxckpd     16     0      release
mxckpd     17     1      press
mxckpd     18     1      press
mxckpd     17     0      release
mxckpd     18     0      release
mxckpd     19     1      press
mxckpd     19     0      release
mxckpd     20     1      press
mxckpd     20     0      release
mxckpd     21     1      press
mxckpd     21     0      release
mxckpd     22     1      press
mxckpd     22     0      release
mxckpd     23     1      press
mxckpd     23     0      release
mxckpd     24     1      press
mxckpd     24     0      release
mxckpd     25     1      press
mxckpd     25     0      release
mxckpd     30     1      press
mxckpd     30     0      release
mxckpd     31     1      press
mxckpd     31     0      release
mxckpd     32     1      press
mxckpd     32     0      release
mxckpd     33     1      press
mxckpd     33     0      release
mxckpd     34     1      press
mxckpd     34     0      release
mxckpd     35     1      press
mxckpd     35     0      release
mxckpd     36     1      press
mxckpd     36     0      release
mxckpd     37     1      press
mxckpd     37     0      release
mxckpd     38     1      press
mxckpd     38     0      release
mxckpd     14     1      press
mxckpd     14     0      release
mxckpd     44     1      press
mxckpd     44     0      release
mxckpd     45     1      press
mxckpd     45     0      release
mxckpd     46     1      press
mxckpd     46     0      release
mxckpd     47     1      press
mxckpd     47     0      release
mxckpd     48     1      press
mxckpd     48     0      release
mxckpd     49     1      press
mxckpd     49     0      release
mxckpd     50     1      press
mxckpd     50     0      release
mxckpd     52     1      press
mxckpd     52     0      release
mxckpd     126    1      press
mxckpd     126    0      release
mxckpd     28     1      press
mxckpd     28     0      release
mxckpd     42     1      press
mxckpd     42     0      release
mxckpd     56     1      press
mxckpd     44     1      press
mxckpd     44     0      release
mxckpd     56     0      release
mxckpd     190    1      press
mxckpd     190    0      release
mxckpd     57     1      press
mxckpd     44     1      press
mxckpd     44     0      release
mxckpd     57     0      release
mxckpd     45     1      press
mxckpd     49     1      press
mxckpd     45     0      release
mxckpd     49     0      release
